material_code,location_code,date,quantity
CC-F01            ,02S ,31-10-2019,2975
CC-F01            ,02S ,01-11-2019,3725
CC-F01            ,02S ,04-11-2019,4475
CC-F01            ,02S ,05-11-2019,750
CC-F01            ,02S ,06-11-2019,1500
CC-F01            ,02S ,07-11-2019,2250
CC-F01            ,02S ,08-11-2019,3000
CC-F01            ,02S ,11-11-2019,3750
CC-F01            ,02S ,12-11-2019,4500
CC-F01            ,02S ,13-11-2019,1036
CC-F01            ,02S ,14-11-2019,1786
CC-F01            ,02S ,15-11-2019,2536
CC-F01            ,02S ,18-11-2019,3286
CC-F01            ,02S ,19-11-2019,4036
CC-F01            ,02S ,20-11-2019,4786
CC-F01            ,02S ,21-11-2019,1471
CC-F01            ,02S ,22-11-2019,2221
CC-F01            ,02S ,25-11-2019,2971
CC-F01            ,02S ,26-11-2019,3721
CC-F01            ,02S ,27-11-2019,4471
CC-F01            ,02S ,28-11-2019,750
CC-F01            ,02S ,29-11-2019,1500
CC-F01            ,02S ,02-12-2019,2250
CC-F01            ,02S ,03-12-2019,3000
CC-F01            ,02S ,04-12-2019,3750
CC-F01            ,02S ,05-12-2019,4500
CC-F01            ,02S ,06-12-2019,1315
CC-F01            ,02S ,09-12-2019,2065
CC-F01            ,02S ,10-12-2019,2815
CC-F01            ,02S ,11-12-2019,3565
CC-F01            ,02S ,12-12-2019,750
CC-F01            ,02S ,13-12-2019,1500
CC-F01            ,02S ,16-12-2019,2250
CC-F01            ,02S ,17-12-2019,3000
CC-F01            ,02S ,18-12-2019,3750
CC-F01            ,02S ,19-12-2019,4500
CC-F01            ,02S ,20-12-2019,5250
CC-F01            ,02S ,23-12-2019,6000
CC-F01            ,02S ,24-12-2019,750
CC-F01            ,02S ,25-12-2019,1500
CC-F01            ,02S ,26-12-2019,2250
CC-F01            ,02S ,27-12-2019,3000
CC-F01            ,02S ,30-12-2019,3750
CC-F01            ,02S ,31-12-2019,4500
CC-F01            ,02S ,02-01-2020,750
CC-F01            ,02S ,03-01-2020,1500
CC-F01            ,02S ,06-01-2020,2250
CC-F01            ,02S ,07-01-2020,3000
CC-F01            ,02S ,08-01-2020,3750
CC-F01            ,02S ,09-01-2020,4500
CC-F01            ,02S ,10-01-2020,750
CC-F01            ,02S ,13-01-2020,1500
CC-F01            ,02S ,14-01-2020,2250
CC-F01            ,02S ,15-01-2020,3250
CC-F01            ,02S ,16-01-2020,4250
CC-F01            ,02S ,17-01-2020,5250
CC-F01            ,02S ,20-01-2020,6250
CC-F01            ,02S ,21-01-2020,3070
CC-F01            ,02S ,22-01-2020,4070
CC-F01            ,02S ,23-01-2020,5070
CC-F01            ,02S ,24-01-2020,1078
CC-F01            ,02S ,28-01-2020,2078
CC-F01            ,02S ,29-01-2020,3078
CC-F01            ,02S ,30-01-2020,4078
CC-F01            ,02S ,31-01-2020,5078
CC-F01            ,02S ,03-02-2020,2137
CC-F01            ,02S ,04-02-2020,1000
CC-F01            ,02S ,05-02-2020,2000
CC-F01            ,02S ,06-02-2020,3000
CC-F01            ,02S ,07-02-2020,4000
CC-F01            ,02S ,10-02-2020,1610
CC-F01            ,02S ,11-02-2020,2610
CC-F01            ,02S ,12-02-2020,3610
CC-F01            ,02S ,13-02-2020,4610
CC-F01            ,02S ,14-02-2020,5610
CC-F01            ,02S ,17-02-2020,6610
CC-F01            ,02S ,18-02-2020,6943
CC-F01            ,02S ,19-02-2020,6943
CC-F01            ,02S ,20-02-2020,3036
CC-F01            ,02S ,21-02-2020,3036
CC-F01            ,02S ,24-02-2020,4036
CC-F01            ,02S ,25-02-2020,1000
CC-F01            ,02S ,26-02-2020,2000
CC-F01            ,02S ,27-02-2020,3000
CC-F01            ,02S ,28-02-2020,1000
CC-F01            ,02S ,02-03-2020,1000
CC-F01            ,02S ,03-03-2020,2000
CC-F01            ,02S ,04-03-2020,3000
CC-F01            ,02S ,05-03-2020,3436
CC-F01            ,02S ,06-03-2020,3436
CC-F01            ,02S ,10-03-2020,1000
CC-F01            ,02S ,11-03-2020,2000
CC-F01            ,02S ,12-03-2020,3000
CC-F01            ,02S ,13-03-2020,4000
CC-F01            ,02S ,16-03-2020,1000
CC-F01            ,02S ,17-03-2020,2000
CC-F01            ,02S ,18-03-2020,3000
CC-F01            ,02S ,19-03-2020,3667
CC-F01            ,02S ,20-03-2020,0
CC-F01            ,02S ,23-03-2020,0
CC-F01            ,02S ,24-03-2020,0
CC-F01            ,02S ,25-03-2020,0
CC-F01            ,02S ,26-03-2020,343
CC-F01            ,02S ,27-03-2020,1343
CC-F01            ,02S ,30-03-2020,2343
CC-F01            ,02S ,31-03-2020,3343
CC-F01            ,02S ,01-04-2020,4343
CC-F01            ,02S ,02-04-2020,5343
CC-F01            ,02S ,03-04-2020,6343
CC-F01            ,02S ,06-04-2020,7343
CC-F01            ,02S ,07-04-2020,3034
CC-F01            ,02S ,08-04-2020,4034
CC-F01            ,02S ,09-04-2020,5034
CC-F01            ,02S ,14-04-2020,6034
CC-F01            ,02S ,15-04-2020,7034
CC-F01            ,02S ,16-04-2020,8034
CC-F01            ,02S ,17-04-2020,4825
CC-F01            ,02S ,20-04-2020,990
CC-F01            ,02S ,21-04-2020,990
CC-F01            ,02S ,22-04-2020,990
